t,psi
269.5,5.454909058051005e-10
270.0,6.618776871667845e-10
270.5,7.871223015435232e-10
271.0,9.154791766827449e-10
271.5,1.0415916446164485e-09
272.0,1.16064539415723e-09
272.5,1.2684926264019082e-09
273.0,1.361742285048715e-09
273.5,1.4378134703290994e-09
274.0,1.4949581803693652e-09
274.5,1.5322504236304649e-09
275.0,1.5495519888446345e-09
275.5,1.547447167733706e-09
276.0,1.5271617078687546e-09
276.5,1.4904647040183056e-09
277.0,1.4395614984714602e-09
277.5,1.3769765483516456e-09
278.0,1.305437987226024e-09
278.5,1.227765257345331e-09
279.0,1.1467609272819595e-09
279.5,1.0651132236902017e-09
280.0,9.85311977061758e-10
280.5,9.095759260838242e-10
281.0,8.397996951921963e-10
281.5,7.775130445942989e-10
282.0,7.238575488115374e-10
282.5,6.795808797496772e-10
283.0,6.450428817204708e-10
283.5,6.202362866202781e-10
284.0,6.048170570676953e-10
284.5,5.981456487668503e-10
285.0,5.993346487240108e-10
285.5,6.073002285480237e-10
286.0,6.208197081997798e-10
286.5,6.385820665979442e-10
287.0,6.592443579340361e-10
287.5,6.814813303248908e-10
288.0,7.040295808574406e-10
288.5,7.2572676333747e-10
289.0,7.455464206286916e-10
289.5,7.626167892629085e-10
290.0,7.762456737540104e-10
290.5,7.859230566649829e-10
291.0,7.913271920187676e-10
291.5,7.923181166065143e-10
292.0,7.889284432096208e-10
292.5,7.813462042133921e-10
293.0,7.698961312190551e-10
293.5,7.550147301820473e-10
294.0,7.372264863016565e-10
294.5,7.171191953351591e-10
295.0,6.953148869177578e-10
295.5,6.724482316258418e-10
296.0,6.491401259059747e-10
296.5,6.259777729459669e-10
297.0,6.034974641847321e-10
297.5,5.821715475738599e-10
298.0,5.623924107236245e-10
298.5,5.444694996858135e-10
299.0,5.286246369803876e-10
299.5,5.149911859598954e-10
300.0,5.036162660425707e-10
300.5,4.944661939683485e-10
301.0,4.874367250309028e-10
301.5,4.823606562533264e-10
302.0,4.790186847926621e-10
302.5,4.771534048761992e-10
303.0,4.764795440855052e-10
303.5,4.766984467557379e-10
304.0,4.775068912442694e-10
304.5,4.786110529878686e-10
305.0,4.797335188358668e-10
305.5,4.806239549011022e-10
306.0,4.810634465182714e-10
306.5,4.808706686306111e-10
307.0,4.799047187488918e-10
307.5,4.780674119761948e-10
308.0,4.753010313328455e-10
308.5,4.715892402800308e-10
309.0,4.669527949957431e-10
309.5,4.6144440612173946e-10
310.0,4.5514704831639625e-10
310.5,4.481679239380045e-10
311.0,4.406290031982158e-10
311.5,4.326656117947122e-10
312.0,4.244188401644593e-10
312.5,4.160302531001884e-10
